Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,359,0.18979510013014078,750
0.edge,1,RLF,Quotient,359,1.1315892999991775,750
0.edge,1,RLF,WholeGraph,358,0.4559975997544825,750
0.edge,1,Greedy,WholePrime,365,0.14415760012343526,750
0.edge,1,Greedy,Quotient,360,1.2139690998010337,750
0.edge,1,Greedy,WholeGraph,365,1.6555984998121858,750
0.edge,1,DSatur,WholePrime,358,0.3293038997799158,750
0.edge,1,DSatur,Quotient,359,1.2508175000548363,750
0.edge,1,DSatur,WholeGraph,358,4.017480999697,750
0.edge,1,TabuCol,WholePrime,357,25.90572819998488,750
0.edge,1,TabuCol,Quotient,359,11.7731335000135,750
0.edge,1,TabuCol,WholeGraph,358,30.40258890017867,750
1.edge,1,RLF,WholePrime,346,0.31883550016209483,750
1.edge,1,RLF,Quotient,347,4.099913200363517,750
1.edge,1,RLF,WholeGraph,346,0.35121370013803244,750
1.edge,1,Greedy,WholePrime,358,0.5168480002321303,750
1.edge,1,Greedy,Quotient,347,3.9009508001618087,750
1.edge,1,Greedy,WholeGraph,358,1.5058475001715124,750
1.edge,1,DSatur,WholePrime,347,0.6911899000406265,750
1.edge,1,DSatur,Quotient,347,3.9089462999254465,750
1.edge,1,DSatur,WholeGraph,347,2.653860699851066,750
1.edge,1,TabuCol,WholePrime,345,18.349686000030488,750
1.edge,1,TabuCol,Quotient,347,8.285429200157523,750
1.edge,1,TabuCol,WholeGraph,346,19.977072600275278,750
10.edge,1,RLF,WholePrime,187,0.14312550006434321,750
10.edge,1,RLF,Quotient,187,1.8200559001415968,750
10.edge,1,RLF,WholeGraph,187,1.2841075998730958,750
10.edge,1,Greedy,WholePrime,190,0.19376790011301637,750
10.edge,1,Greedy,Quotient,187,1.7775499001145363,750
10.edge,1,Greedy,WholeGraph,190,0.5101335998624563,750
10.edge,1,DSatur,WholePrime,187,0.3634933000430465,750
10.edge,1,DSatur,Quotient,187,1.8528138003312051,750
10.edge,1,DSatur,WholeGraph,187,1.903957000002265,750
10.edge,1,TabuCol,WholePrime,187,25.04229879984632,750
10.edge,1,TabuCol,Quotient,187,17.968623000197113,750
