Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,173,0.9513758001849055,1000
0.edge,1,RLF,Quotient,175,10.325453999917954,1000
0.edge,1,RLF,WholeGraph,173,1.5054013999179006,1000
0.edge,1,Greedy,WholePrime,185,1.0636783996596932,1000
0.edge,1,Greedy,Quotient,175,10.62815639982,1000
0.edge,1,Greedy,WholeGraph,186,1.6288045002147555,1000
0.edge,1,DSatur,WholePrime,172,1.6091593001037836,1000
0.edge,1,DSatur,Quotient,175,10.854862199630588,1000
0.edge,1,DSatur,WholeGraph,172,4.110386099666357,1000
0.edge,1,TabuCol,WholePrime,167,30.77911960007623,1000
0.edge,1,TabuCol,Quotient,175,8.780896900221705,1000
0.edge,1,TabuCol,WholeGraph,173,11.93179709976539,1000
1.edge,1,RLF,WholePrime,188,1.3795758998021483,1000
1.edge,1,RLF,Quotient,185,13.273002800066024,1000
1.edge,1,RLF,WholeGraph,188,1.513245299924165,1000
1.edge,1,Greedy,WholePrime,210,1.2225831001996994,1000
1.edge,1,Greedy,Quotient,187,13.87413809960708,1000
1.edge,1,Greedy,WholeGraph,211,1.626892200205475,1000
1.edge,1,DSatur,WholePrime,183,2.068100899923593,1000
1.edge,1,DSatur,Quotient,185,13.901182800065726,1000
1.edge,1,DSatur,WholeGraph,183,4.855467699933797,1000
1.edge,1,TabuCol,WholePrime,183,43.325434600003064,1000
1.edge,1,TabuCol,Quotient,185,15.57316240016371,1000
1.edge,1,TabuCol,WholeGraph,188,11.882440799847245,1000
10.edge,1,RLF,WholePrime,68,0.8509432002902031,1000
10.edge,1,RLF,Quotient,70,7.892426599748433,1000
10.edge,1,RLF,WholeGraph,70,1.8182577001862228,1000
10.edge,1,Greedy,WholePrime,82,0.359508799854666,1000
10.edge,1,Greedy,Quotient,70,7.874115699902177,1000
10.edge,1,Greedy,WholeGraph,82,0.17716290010139346,1000
10.edge,1,DSatur,WholePrime,67,0.826007999945432,1000
10.edge,1,DSatur,Quotient,70,7.905577600002289,1000
10.edge,1,DSatur,WholeGraph,67,0.7226930996403098,1000
10.edge,1,TabuCol,WholePrime,63,12.450045500416309,1000
10.edge,1,TabuCol,Quotient,70,7.183491099625826,1000
10.edge,1,TabuCol,WholeGraph,70,11.307478500064462,1000
11.edge,1,RLF,WholePrime,75,0.4267380996607244,1000
11.edge,1,RLF,Quotient,75,5.890257799997926,1000
11.edge,1,RLF,WholeGraph,76,4.532150299753994,1000
11.edge,1,Greedy,WholePrime,82,0.40387909999117255,1000
11.edge,1,Greedy,Quotient,76,5.874977000057697,1000
11.edge,1,Greedy,WholeGraph,84,0.5037518003955483,1000
11.edge,1,DSatur,WholePrime,76,0.719703699927777,1000
11.edge,1,DSatur,Quotient,75,6.0914321998134255,1000
11.edge,1,DSatur,WholeGraph,76,1.5279250000603497,1000
11.edge,1,TabuCol,WholePrime,74,13.546370999887586,1000
11.edge,1,TabuCol,Quotient,75,9.942282499745488,1000
11.edge,1,TabuCol,WholeGraph,76,13.781593100167811,1000
12.edge,1,RLF,WholePrime,113,2.45480029983446,1000
12.edge,1,RLF,Quotient,110,29.868334400001913,1000
12.edge,1,RLF,WholeGraph,111,2.200567299965769,1000
12.edge,1,Greedy,WholePrime,127,1.4082742999307811,1000
12.edge,1,Greedy,Quotient,111,22.69565329980105,1000
12.edge,1,Greedy,WholeGraph,124,0.5335551998578012,1000
12.edge,1,DSatur,WholePrime,108,1.2081781001761556,1000
12.edge,1,DSatur,Quotient,110,16.97522210003808,1000
12.edge,1,DSatur,WholeGraph,108,1.4009163998998702,1000
12.edge,1,TabuCol,WholePrime,108,8.794903500005603,1000
12.edge,1,TabuCol,Quotient,110,18.239169500302523,1000
12.edge,1,TabuCol,WholeGraph,111,8.389027399942279,1000
13.edge,1,RLF,WholePrime,118,0.7172778998501599,1000
13.edge,1,RLF,Quotient,118,9.921333100181073,1000
13.edge,1,RLF,WholeGraph,118,2.08832969982177,1000
13.edge,1,Greedy,WholePrime,134,0.8038135999813676,1000
13.edge,1,Greedy,Quotient,118,10.241369700059295,1000
13.edge,1,Greedy,WholeGraph,135,1.1431239997036755,1000
13.edge,1,DSatur,WholePrime,114,1.2269955999217927,1000
13.edge,1,DSatur,Quotient,118,10.472231100313365,1000
13.edge,1,DSatur,WholeGraph,114,2.7500804997980595,1000
13.edge,1,TabuCol,WholePrime,117,17.163575599901378,1000
13.edge,1,TabuCol,Quotient,118,12.520791199989617,1000
13.edge,1,TabuCol,WholeGraph,118,11.937276300042868,1000
14.edge,1,RLF,WholePrime,130,0.5672308998182416,1000
14.edge,1,RLF,Quotient,133,7.928570799995214,1000
14.edge,1,RLF,WholeGraph,130,2.6721149999648333,1000
14.edge,1,Greedy,WholePrime,141,0.4616820001974702,1000
