Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,71,0.11067220009863377,500
0.edge,1,RLF,Quotient,71,0.5672391001135111,500
0.edge,1,RLF,WholeGraph,71,0.43603930016979575,500
0.edge,1,Greedy,WholePrime,78,0.09423499973490834,500
0.edge,1,Greedy,Quotient,73,0.5538383000530303,500
0.edge,1,Greedy,WholeGraph,78,0.15797509998083115,500
0.edge,1,DSatur,WholePrime,71,0.22808310016989708,500
0.edge,1,DSatur,Quotient,71,0.6339149996638298,500
0.edge,1,DSatur,WholeGraph,71,0.4446502001956105,500
0.edge,1,TabuCol,WholePrime,71,18.210792900063097,500
0.edge,1,TabuCol,Quotient,71,9.52102359989658,500
0.edge,1,TabuCol,WholeGraph,71,2.6691626999527216,500
1.edge,1,RLF,WholePrime,43,0.09260680014267564,500
1.edge,1,RLF,Quotient,44,0.3240324999205768,500
1.edge,1,RLF,WholeGraph,45,0.6075703999958932,500
1.edge,1,Greedy,WholePrime,47,0.0748908999375999,500
1.edge,1,Greedy,Quotient,45,0.35010610008612275,500
1.edge,1,Greedy,WholeGraph,48,0.06201669992879033,500
1.edge,1,DSatur,WholePrime,44,0.17319909995421767,500
1.edge,1,DSatur,Quotient,43,0.3728539999574423,500
1.edge,1,DSatur,WholeGraph,44,0.2984087001532316,500
1.edge,1,TabuCol,WholePrime,43,19.94051199965179,500
1.edge,1,TabuCol,Quotient,43,9.836537500377744,500
1.edge,1,TabuCol,WholeGraph,45,1.8811728996224701,500
10.edge,1,RLF,WholePrime,51,0.07848250027745962,500
10.edge,1,RLF,Quotient,51,0.34744299994781613,500
10.edge,1,RLF,WholeGraph,51,0.6193722998723388,500
10.edge,1,Greedy,WholePrime,55,0.057258100248873234,500
10.edge,1,Greedy,Quotient,52,0.3961112997494638,500
10.edge,1,Greedy,WholeGraph,55,0.08116680011153221,500
10.edge,1,DSatur,WholePrime,51,0.12400180008262396,500
10.edge,1,DSatur,Quotient,51,0.40376800019294024,500
10.edge,1,DSatur,WholeGraph,51,0.3684584000147879,500
10.edge,1,TabuCol,WholePrime,51,13.617525800131261,500
10.edge,1,TabuCol,Quotient,51,7.685737899970263,500
10.edge,1,TabuCol,WholeGraph,51,2.507084300275892,500
11.edge,1,RLF,WholePrime,60,0.07146380003541708,500
11.edge,1,RLF,Quotient,61,0.2044146996922791,500
11.edge,1,RLF,WholeGraph,61,0.5405783001333475,500
11.edge,1,Greedy,WholePrime,63,0.055010799784213305,500
11.edge,1,Greedy,Quotient,63,0.20122729986906052,500
11.edge,1,Greedy,WholeGraph,63,0.12643259996548295,500
11.edge,1,DSatur,WholePrime,60,0.12912979954853654,500
11.edge,1,DSatur,Quotient,61,0.2447235002182424,500
11.edge,1,DSatur,WholeGraph,60,0.49362119985744357,500
11.edge,1,TabuCol,WholePrime,60,17.66264500003308,500
11.edge,1,TabuCol,Quotient,61,10.427593900356442,500
11.edge,1,TabuCol,WholeGraph,61,2.8121508001349866,500
12.edge,1,RLF,WholePrime,77,0.12231410015374422,500
12.edge,1,RLF,Quotient,77,0.4202312999404967,500
12.edge,1,RLF,WholeGraph,77,0.4112507002428174,500
12.edge,1,Greedy,WholePrime,80,0.08227339992299676,500
12.edge,1,Greedy,Quotient,77,0.3915117997676134,500
12.edge,1,Greedy,WholeGraph,80,0.18402420030906796,500
12.edge,1,DSatur,WholePrime,77,0.20899529987946153,500
12.edge,1,DSatur,Quotient,77,0.4499166002497077,500
12.edge,1,DSatur,WholeGraph,77,0.6290799002163112,500
12.edge,1,TabuCol,WholePrime,76,22.438524399884045,500
12.edge,1,TabuCol,Quotient,77,10.006320799700916,500
12.edge,1,TabuCol,WholeGraph,77,2.4764734003692865,500
13.edge,1,RLF,WholePrime,54,0.17649330012500286,500
13.edge,1,RLF,Quotient,53,1.189402800053358,500
13.edge,1,RLF,WholeGraph,52,0.5829130997881293,500
13.edge,1,Greedy,WholePrime,60,0.14458510000258684,500
13.edge,1,Greedy,Quotient,53,1.2558340998366475,500
13.edge,1,Greedy,WholeGraph,60,0.07904980005696416,500
13.edge,1,DSatur,WholePrime,53,0.2832404999062419,500
13.edge,1,DSatur,Quotient,53,1.343523799907416,500
13.edge,1,DSatur,WholeGraph,53,0.3621258996427059,500
13.edge,1,TabuCol,WholePrime,52,12.474675899837166,500
13.edge,1,TabuCol,Quotient,53,3.5374579997733235,500
13.edge,1,TabuCol,WholeGraph,52,3.046130099799484,500
14.edge,1,RLF,WholePrime,80,0.0769421998411417,500
14.edge,1,RLF,Quotient,80,0.28642790019512177,500
14.edge,1,RLF,WholeGraph,80,0.3573985998518765,500
14.edge,1,Greedy,WholePrime,89,0.051829100120812654,500
14.edge,1,Greedy,Quotient,84,0.29060859978199005,500
14.edge,1,Greedy,WholeGraph,89,0.1462193001061678,500
14.edge,1,DSatur,WholePrime,80,0.137663499917835,500
14.edge,1,DSatur,Quotient,80,0.3265506997704506,500
14.edge,1,DSatur,WholeGraph,80,0.4193478999659419,500
14.edge,1,TabuCol,WholePrime,79,14.88073159987107,500
14.edge,1,TabuCol,Quotient,79,10.833371399901807,500
14.edge,1,TabuCol,WholeGraph,80,3.3831167998723686,500
2.edge,1,RLF,WholePrime,48,0.06744100013747811,500
2.edge,1,RLF,Quotient,48,0.2706082002259791,500
2.edge,1,RLF,WholeGraph,48,0.3679549000225961,500
2.edge,1,Greedy,WholePrime,48,0.049193700309842825,500
2.edge,1,Greedy,Quotient,49,0.26362490002065897,500
